prop_id,prop_type,province,city,location,bedrooms,bathrooms,area,purpose,date_added,price
3556,Flat,Sindh,Karachi,"Maskan Chowrangi, Karachi, Sindh",2,2,100 Sq. Yd.,For Sale,7/11/2023,PKR95 Lakh
3557,House,Sindh,Karachi,"Korangi, Karachi, Sindh",3,3,120 Sq. Yd.,For Sale,7/11/2023,PKR2 Crore
3558,Flat,Sindh,Karachi,"Frere Town, Karachi, Sindh",3,3,189 Sq. Yd.,For Sale,7/11/2023,PKR2.7 Crore
3559,Flat,Sindh,Karachi,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,156 Sq. Yd.,For Sale,7/11/2023,PKR2.4 Crore
3560,Upper Portion,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,300 Sq. Yd.,For Sale,7/3/2023,PKR2.15 Crore
3561,Flat,Sindh,Karachi,"North Nazimabad, Karachi, Sindh",2,2,78 Sq. Yd.,For Sale,7/11/2023,PKR90 Lakh
3562,Flat,Sindh,Karachi,"Scheme 33, Karachi, Sindh",1,1,56 Sq. Yd.,For Sale,6/27/2023,PKR38 Lakh
3563,Flat,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",2,2,89 Sq. Yd.,For Sale,7/3/2023,PKR70 Lakh
3564,House,Sindh,Karachi,"Karachi Motorway, Karachi, Sindh",2,2,120 Sq. Yd.,For Sale,7/11/2023,PKR95 Lakh
3565,House,Sindh,Karachi,"Karachi Motorway, Karachi, Sindh",3,4,240 Sq. Yd.,For Sale,7/11/2023,PKR2.2 Crore
3566,House,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",6,6,280 Sq. Yd.,For Sale,7/11/2023,PKR7 Crore
3567,House,Sindh,Karachi,"Bin Qasim Town, Karachi, Sindh",4,4,110 Sq. Yd.,For Sale,7/11/2023,PKR2.1 Crore
3568,House,Sindh,Karachi,"Malir, Karachi, Sindh",2,2,80 Sq. Yd.,For Sale,7/11/2023,PKR1.5 Crore
3569,House,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",6,6,240 Sq. Yd.,For Sale,7/4/2023,PKR3.75 Crore
3570,House,Sindh,Karachi,"Scheme 33, Karachi, Sindh",4,4,120 Sq. Yd.,For Sale,7/11/2023,PKR2.45 Crore
3571,House,Sindh,Karachi,"North Nazimabad, Karachi, Sindh",6,6,300 Sq. Yd.,For Sale,7/18/2023,PKR4.75 Crore
3572,Flat,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",4,4,244 Sq. Yd.,For Sale,7/2/2023,PKR3.1 Crore
3573,Flat,Sindh,Karachi,"Scheme 33, Karachi, Sindh",3,3,156 Sq. Yd.,For Sale,6/27/2023,PKR1 Crore
3574,Flat,Sindh,Karachi,"Scheme 33, Karachi, Sindh",3,3,167 Sq. Yd.,For Sale,6/27/2023,PKR1.35 Crore
3575,Flat,Sindh,Karachi,"Scheme 33, Karachi, Sindh",2,2,94 Sq. Yd.,For Sale,6/27/2023,PKR75 Lakh
3576,House,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",6,8,400 Sq. Yd.,For Sale,7/11/2023,PKR5.95 Crore
3577,House,Sindh,Karachi,"Scheme 33, Karachi, Sindh",3,3,240 Sq. Yd.,For Sale,7/18/2023,PKR3.5 Crore
3578,Flat,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,150 Sq. Yd.,For Sale,6/27/2023,PKR65 Lakh
3579,Flat,Sindh,Karachi,"North Karachi, Karachi, Sindh",2,3,83 Sq. Yd.,For Sale,6/30/2023,PKR57 Lakh
3580,House,Sindh,Karachi,"North Nazimabad, Karachi, Sindh",6,6,256 Sq. Yd.,For Sale,6/27/2023,PKR4.7 Crore
3581,Flat,Sindh,Karachi,"North Nazimabad, Karachi, Sindh",2,2,78 Sq. Yd.,For Sale,6/27/2023,PKR85 Lakh
3582,House,Sindh,Karachi,"North Nazimabad, Karachi, Sindh",6,6,256 Sq. Yd.,For Sale,6/27/2023,PKR4.7 Crore
3583,Flat,Sindh,Karachi,"North Nazimabad, Karachi, Sindh",2,2,78 Sq. Yd.,For Sale,6/27/2023,PKR85 Lakh
